NAME,MedianHouseIncome
"Census Tract 85.09, San Diego County, California",77091
"Census Tract 85.10, San Diego County, California",62537
"Census Tract 85.11, San Diego County, California",81431
"Census Tract 85.12, San Diego County, California",93152
"Census Tract 85.13, San Diego County, California",107107
"Census Tract 86, San Diego County, California",47756
"Census Tract 87.01, San Diego County, California",71964
"Census Tract 87.02, San Diego County, California",78125
"Census Tract 88, San Diego County, California",54215
"Census Tract 89.01, San Diego County, California",74109
"Census Tract 89.02, San Diego County, California",69167
"Census Tract 90, San Diego County, California",63006
"Census Tract 91.01, San Diego County, California",113016
"Census Tract 91.02, San Diego County, California",41683
"Census Tract 91.03, San Diego County, California",81149
"Census Tract 91.04, San Diego County, California",102472
"Census Tract 91.06, San Diego County, California",74115
"Census Tract 91.07, San Diego County, California",64207
"Census Tract 92.01, San Diego County, California",67375
"Census Tract 92.02, San Diego County, California",84844
"Census Tract 93.01, San Diego County, California",68657
"Census Tract 93.04, San Diego County, California",79602
"Census Tract 93.05, San Diego County, California",95313
"Census Tract 93.06, San Diego County, California",85649
"Census Tract 94, San Diego County, California",46114
"Census Tract 95.02, San Diego County, California",88327
"Census Tract 95.04, San Diego County, California",163000
"Census Tract 95.05, San Diego County, California",123281
"Census Tract 95.06, San Diego County, California",114861
"Census Tract 95.07, San Diego County, California",89464
"Census Tract 95.09, San Diego County, California",86786
"Census Tract 95.10, San Diego County, California",52667
"Census Tract 95.11, San Diego County, California",70875
"Census Tract 96.02, San Diego County, California",81375
"Census Tract 96.03, San Diego County, California",62220
"Census Tract 96.04, San Diego County, California",82270
"Census Tract 97.03, San Diego County, California",90156
"Census Tract 97.04, San Diego County, California",109797
"Census Tract 97.05, San Diego County, California",104444
"Census Tract 97.06, San Diego County, California",111723
"Census Tract 98.01, San Diego County, California",87047
"Census Tract 98.02, San Diego County, California",75046
"Census Tract 98.04, San Diego County, California",97037
"Census Tract 98.05, San Diego County, California",86625
"Census Tract 99.01, San Diego County, California",-
"Census Tract 99.02, San Diego County, California",-
"Census Tract 100.01, San Diego County, California",70441
"Census Tract 100.03, San Diego County, California",76161
"Census Tract 100.04, San Diego County, California",60769
"Census Tract 100.05, San Diego County, California",35191
"Census Tract 100.09, San Diego County, California",45269
"Census Tract 100.10, San Diego County, California",42174
"Census Tract 100.11, San Diego County, California",73000
"Census Tract 100.12, San Diego County, California",43738
"Census Tract 100.13, San Diego County, California",39621
"Census Tract 100.14, San Diego County, California",90461
"Census Tract 100.15, San Diego County, California",96597
"Census Tract 101.03, San Diego County, California",46932
"Census Tract 101.04, San Diego County, California",63735
"Census Tract 101.06, San Diego County, California",49744
"Census Tract 101.07, San Diego County, California",64154
"Census Tract 101.09, San Diego County, California",80000
"Census Tract 101.10, San Diego County, California",52865
"Census Tract 101.11, San Diego County, California",45183
"Census Tract 101.12, San Diego County, California",42965
"Census Tract 102, San Diego County, California",60806
"Census Tract 103, San Diego County, California",61364
"Census Tract 104.01, San Diego County, California",50820
"Census Tract 104.02, San Diego County, California",47004
"Census Tract 105.01, San Diego County, California",70233
"Census Tract 105.02, San Diego County, California",44576
"Census Tract 106.01, San Diego County, California",125000
"Census Tract 108, San Diego County, California",99679
"Census Tract 109, San Diego County, California",115987
"Census Tract 110, San Diego County, California",99205
"Census Tract 111, San Diego County, California",100375
"Census Tract 113, San Diego County, California",152500
"Census Tract 116.01, San Diego County, California",35144
"Census Tract 116.02, San Diego County, California",42026
"Census Tract 117, San Diego County, California",37647
"Census Tract 118.01, San Diego County, California",46384
"Census Tract 118.02, San Diego County, California",43975
"Census Tract 119.02, San Diego County, California",63304
"Census Tract 120.02, San Diego County, California",31350
"Census Tract 120.03, San Diego County, California",77000
"Census Tract 121.01, San Diego County, California",42316
"Census Tract 121.02, San Diego County, California",49449
"Census Tract 122, San Diego County, California",54318
"Census Tract 123.02, San Diego County, California",28661
"Census Tract 123.03, San Diego County, California",47083
"Census Tract 123.04, San Diego County, California",60662
"Census Tract 124.01, San Diego County, California",42412
"Census Tract 124.02, San Diego County, California",48750
"Census Tract 125.01, San Diego County, California",27782
"Census Tract 125.02, San Diego County, California",36951
"Census Tract 126, San Diego County, California",50762
"Census Tract 127, San Diego County, California",39508
"Census Tract 128, San Diego County, California",58314
"Census Tract 129, San Diego County, California",74107
"Census Tract 130, San Diego County, California",59173
"Census Tract 131.02, San Diego County, California",54891
"Census Tract 131.03, San Diego County, California",50368
