ID,NAME,income
589,"Census Tract 204.01, San Diego County, California",115500
590,"Census Tract 204.03, San Diego County, California",95254
591,"Census Tract 204.04, San Diego County, California",83920
592,"Census Tract 204.05, San Diego County, California",114205
593,"Census Tract 205, San Diego County, California",54767
594,"Census Tract 206.01, San Diego County, California",58711
595,"Census Tract 206.02, San Diego County, California",66655
596,"Census Tract 207.05, San Diego County, California",99559
597,"Census Tract 207.06, San Diego County, California",115540
598,"Census Tract 207.07, San Diego County, California",51920
599,"Census Tract 207.08, San Diego County, California",92467
600,"Census Tract 207.09, San Diego County, California",102072
601,"Census Tract 207.10, San Diego County, California",117647
602,"Census Tract 208.01, San Diego County, California",107500
603,"Census Tract 208.05, San Diego County, California",65160
604,"Census Tract 208.06, San Diego County, California",63448
605,"Census Tract 208.07, San Diego County, California",93947
606,"Census Tract 208.09, San Diego County, California",85064
607,"Census Tract 208.10, San Diego County, California",118378
608,"Census Tract 208.11, San Diego County, California",110995
609,"Census Tract 209.02, San Diego County, California",92917
610,"Census Tract 209.03, San Diego County, California",43274
611,"Census Tract 209.04, San Diego County, California",55560
612,"Census Tract 210, San Diego County, California",39761
613,"Census Tract 211, San Diego County, California",49231
614,"Census Tract 212.02, San Diego County, California",89844
615,"Census Tract 212.04, San Diego County, California",116680
616,"Census Tract 212.05, San Diego County, California",62051
617,"Census Tract 212.06, San Diego County, California",113542
618,"Census Tract 213.02, San Diego County, California",91071
619,"Census Tract 213.03, San Diego County, California",134712
620,"Census Tract 213.04, San Diego County, California",119020
621,"Census Tract 214, San Diego County, California",72992
622,"Census Tract 215, San Diego County, California",196299
623,"Census Tract 216, San Diego County, California",76929
624,"Census Tract 218, San Diego County, California",119583
625,"Census Tract 219, San Diego County, California",44167
626,"Census Tract 220, San Diego County, California",43029
627,"Census Tract 221, San Diego County, California",105975
