ID,NAME,SNAP_People
614,"Census Tract 212.02, San Diego County, California",45
615,"Census Tract 212.04, San Diego County, California",30
616,"Census Tract 212.05, San Diego County, California",265
617,"Census Tract 212.06, San Diego County, California",12
618,"Census Tract 213.02, San Diego County, California",92
619,"Census Tract 213.03, San Diego County, California",68
620,"Census Tract 213.04, San Diego County, California",22
621,"Census Tract 214, San Diego County, California",77
622,"Census Tract 215, San Diego County, California",70
623,"Census Tract 216, San Diego County, California",0
624,"Census Tract 218, San Diego County, California",9
625,"Census Tract 219, San Diego County, California",137
626,"Census Tract 220, San Diego County, California",179
627,"Census Tract 221, San Diego County, California",67
